,availability_status,availableQuantity,offer_id,partner_offer_id,product_id,seller_id
0,NOT_AVAILABLE,98,433DA961617D4297988DE1258FDB1B85,S2005,789OK1GF4HZC,3BD3355DE42947CC93EF0CD020250D5D
1,NOT_AVAILABLE,10,A60D2796756041F7B23664D83B192C75,78800,1KPKXR6BBM0R,3BD3355DE42947CC93EF0CD020250D5D
2,NOT_AVAILABLE,52,095BB1A8CB654D348BA5FC0EF13A8945,1190,5ZA52HO8WQBT,3BD3355DE42947CC93EF0CD020250D5D
3,NOT_AVAILABLE,28,FAD2D49552354AE69582B925269413F1,274549,1F6HD2F9BGDK,3BD3355DE42947CC93EF0CD020250D5D
4,NOT_AVAILABLE,19,9BBA965BB1F54CCFAB05662A59018133,36,43KCXH413A3T,3BD3355DE42947CC93EF0CD020250D5D
5,NOT_AVAILABLE,83,551ABE9109074BB7A0102C05965C5B76,50826,46EPKSTGNOBT,3BD3355DE42947CC93EF0CD020250D5D
6,NOT_AVAILABLE,10,ADFC37631B5D448D8C9217EFBB72A424,101705,7CFSYHSNT1R5,3BD3355DE42947CC93EF0CD020250D5D
7,NOT_AVAILABLE,22,04C186B6AFF047C592D5FB572F8EE4E0,T3620,3C6070Z8V2JJ,3BD3355DE42947CC93EF0CD020250D5D
8,NOT_AVAILABLE,142,B7FEB42B6ADC40298D192901E9F4202E,504,2A8BP23VZDDK,3BD3355DE42947CC93EF0CD020250D5D
9,NOT_AVAILABLE,136,006C148A84CF4565AB50E808CF886EC8,273315,79I3TW6T0151,3BD3355DE42947CC93EF0CD020250D5D
10,NOT_AVAILABLE,30,5B97F54B799546A29CDA7F4B4A8D0D16,1224,4BD58V3349RH,3BD3355DE42947CC93EF0CD020250D5D
11,NOT_AVAILABLE,130,8523260CED8D407191A2607AC9C1F549,961,7DBQRZG3SCIS,3BD3355DE42947CC93EF0CD020250D5D
12,NOT_AVAILABLE,3,F8D6154AD0504A12919C3E9F8997CDF4,40568,5HJR3RNCVJPI,3BD3355DE42947CC93EF0CD020250D5D
13,NOT_AVAILABLE,10,64D805FD49864787AC7CA9B5A2D739DE,4854,68A6FA70LY3K,3BD3355DE42947CC93EF0CD020250D5D
14,NOT_AVAILABLE,81,3627E426895047108FFF693CA3281F91,2280,67ZZBWUAK8OX,3BD3355DE42947CC93EF0CD020250D5D
15,NOT_AVAILABLE,44,2389500489D744238428A415CEB1AD83,24,7EGZVV3395VP,3BD3355DE42947CC93EF0CD020250D5D
16,NOT_AVAILABLE,74,E3A1371D7C2B4C788A549F8BB9B931A3,963,6AD6QIL39OJ9,3BD3355DE42947CC93EF0CD020250D5D
17,NOT_AVAILABLE,1,EAE0B5DA90E84670A379F637A3DA02FB,5419,66YRZ3H0W8EA,3BD3355DE42947CC93EF0CD020250D5D
18,NOT_AVAILABLE,8,70BFA31E89E8466B9838ADB6F49679F8,1619,1JBAE59DTJFP,3BD3355DE42947CC93EF0CD020250D5D
19,NOT_AVAILABLE,29,54C1BD3B8DCB4CF5AF471E11C076EF20,22,797C0YCWE2KJ,3BD3355DE42947CC93EF0CD020250D5D
20,NOT_AVAILABLE,10,F7EABC33CB2F4A0D8D94AD94207C5DCD,37498,3VECRLBW1CKG,3BD3355DE42947CC93EF0CD020250D5D
21,NOT_AVAILABLE,93,76EFC262F2114D53A0172B6D4F977730,2183,7IETEIQAQDFK,3BD3355DE42947CC93EF0CD020250D5D
22,NOT_AVAILABLE,6,8703B657BBA14143A2EB057FDD0DA7BC,1612,4OO86T5P3321,3BD3355DE42947CC93EF0CD020250D5D
23,NOT_AVAILABLE,23,CA3C875B9A8B41D89EE878ADB88C4AE7,30,6JEVW6W3ADHL,3BD3355DE42947CC93EF0CD020250D5D
24,NOT_AVAILABLE,1,A75B794974CA4D269AF6014BB7FB97F4,T3514,12MJC28OINAP,3BD3355DE42947CC93EF0CD020250D5D
25,NOT_AVAILABLE,185,44A2F16E5AFA41E7A33AD21EC074244C,276204,349NZAFAXZUD,3BD3355DE42947CC93EF0CD020250D5D
26,NOT_AVAILABLE,9,2285E6CE2BF6437898FF9E1D9FB0401D,B7920,4XW3AY5FTV1V,3BD3355DE42947CC93EF0CD020250D5D
27,NOT_AVAILABLE,36,8C8A37B4B6AB4954B145786E0B680948,1156,4MQRYFBPR30N,3BD3355DE42947CC93EF0CD020250D5D
28,NOT_AVAILABLE,30,7DFF1ED5871B4EC5B84287CB796EB522,B3818,6WZULTQ0QXGO,3BD3355DE42947CC93EF0CD020250D5D
29,NOT_AVAILABLE,23,BC9258272C874848A43F040E6FF0B942,2631,5WB9ODWJCUGX,3BD3355DE42947CC93EF0CD020250D5D
30,NOT_AVAILABLE,18,2011D0BB11FD42C2BBC837486FC04607,S7750,18ULSNHT3L20,3BD3355DE42947CC93EF0CD020250D5D
31,NOT_AVAILABLE,13,676AFC85281044E9ACFBD58E3995D6D3,40,3XO2K84Z9COG,3BD3355DE42947CC93EF0CD020250D5D
32,NOT_AVAILABLE,19,21CB88862A4C48319B3FEDA86A71080E,W2935,701OCR8O9S4I,3BD3355DE42947CC93EF0CD020250D5D
33,NOT_AVAILABLE,1,00A9DB9E439845278AC5D2289741EAA4,ZCMP5079,56BFP3DKN187,3BD3355DE42947CC93EF0CD020250D5D
34,NOT_AVAILABLE,5,0F495B98E161482AA7F3B7E83E4D1459,78835,68Y5C2SV25PC,3BD3355DE42947CC93EF0CD020250D5D
35,NOT_AVAILABLE,160,26BC5FAC516347C99CCF48B682193945,2630,2676X1XRFHLH,3BD3355DE42947CC93EF0CD020250D5D
36,NOT_AVAILABLE,80,A497476E22074EDA841EF334AA2333B4,1170,5W05ARTXC1VO,3BD3355DE42947CC93EF0CD020250D5D
37,NOT_AVAILABLE,48,2BFD81F204824CB693CDB0146787D506,2188,3EBJXJ37B0FT,3BD3355DE42947CC93EF0CD020250D5D
38,NOT_AVAILABLE,99,60BD595A60E64A3F891705762B0B2895,S2320,6AWPC7N8IX9E,3BD3355DE42947CC93EF0CD020250D5D
39,NOT_AVAILABLE,26,00F65DDCF573458BA5647B95B21DF2B4,16,52IT51QEH7RB,3BD3355DE42947CC93EF0CD020250D5D
40,NOT_AVAILABLE,46,EC8BD5BACE3A41009D48D015C5BDB915,2399,558KGTX30HO1,3BD3355DE42947CC93EF0CD020250D5D
41,NOT_AVAILABLE,1,60FCF15684184005AA7571BB4256D360,426915,1T80J42MUPL7,F281983EA06C41EFBBAB1F161D296788
42,NOT_AVAILABLE,28,E1CCE972672145658E41C7DB98B07325,426888,55D4AYM80AQF,F281983EA06C41EFBBAB1F161D296788
43,NOT_AVAILABLE,94,DC15ED709D17410C868A1ED07C6B9953,00028287554788,2S8GVOOV88HZ,F281983EA06C41EFBBAB1F161D296788
44,NOT_AVAILABLE,21,2067FD52669941E4BC9B7A2881706362,890397002806,12VPRJWHNBB3,F281983EA06C41EFBBAB1F161D296788
45,NOT_AVAILABLE,1,529DE0BEBDD4459DAA7BF4B4AF7F5896,605047,4VSTZQCAM70O,F281983EA06C41EFBBAB1F161D296788
46,NOT_AVAILABLE,94,6E88555485AF485EBC10AA3738766F24,00028287554900,2B0M5MM94TJQ,F281983EA06C41EFBBAB1F161D296788
